Id,Label,Name,Name2,number.links,total.link.strength,citations,degree,n.betweeness
26313,"yoccoz ng, 2001, trends ecol evol, v16, p446, doi 10.1016/s0169-5347(01)02205-4",,,1659,2104,39,1659,0.002966
14839,"mackenzie di, 2009, ecology, v90, p823, doi 10.1890/08-0141.1",,,1393,1538,24,1393,0.002966
13703,"lebreton jd, 1992, ecol monogr, v62, p67, doi 10.2307/2937171",,,849,909,16,849,0.002912
20586,"rota ct, 2016, methods ecol evol, v7, p1164, doi 10.1111/2041-210x.12587",,,1283,1493,23,1283,0.002712
17343,"nichols jd, 2008, j appl ecol, v45, p1321, doi 10.1111/j.1365-2664.2008.01509.x",,,1579,1889,32,1579,0.002674
26548,"zipkin ef, 2012, ecol appl, v22, p1962, doi 10.1890/11-1936.1",,,1503,1718,24,1503,0.002638
6884,"efford mg, 2012, ecosphere, v3, doi 10.1890/es11-00308.1",,,1462,1735,28,1462,0.002601
7297,"fahrig l, 2003, annu rev ecol evol s, v34, p487, doi 10.1146/annurev.ecolsys.34.011802.132419",,,1360,1490,21,1360,0.002458
9601,"guisan a, 2005, ecol lett, v8, p993, doi 10.1111/j.1461-0248.2005.00792.x",,,1483,1762,24,1483,0.002445
17364,"niedballa j, 2016, methods ecol evol, v7, p1457, doi 10.1111/2041-210x.12600",,,1266,1441,20,1266,0.002372
25219,"watanabe s, 2010, j mach learn res, v11, p3571",,,810,863,10,810,0.00229
1629,"barker rj, 2018, biometrics, v74, p369, doi 10.1111/biom.12734",,,1362,1706,28,1362,0.002224
22613,"spiegelhalter dj, 2002, j r stat soc b, v64, p583, doi 10.1111/1467-9868.00353",,,1346,1528,20,1346,0.00214
10677,"hines je, 2010, ecol appl, v20, p1456, doi 10.1890/09-0321.1",,,1343,1577,26,1343,0.00214
16238,"miller da, 2011, ecology, v92, p1422, doi 10.1890/10-1396.1",,,1304,1585,27,1304,0.002127
14195,"link wa, 2018, ecology, v99, p1547, doi 10.1002/ecy.2362",,,1241,1506,24,1241,0.002067
13766,"legendre p., 1998, numerical ecology el",,,396,405,5,396,0.002062
23877,"tobler mw, 2015, j appl ecol, v52, p413, doi 10.1111/1365-2664.12399",,,1524,1873,26,1524,0.002055
3679,"burton ac, 2015, j appl ecol, v52, p675, doi 10.1111/1365-2664.12432",,,1407,1719,28,1407,0.00204
23534,"tews j, 2004, j biogeogr, v31, p79, doi 10.1046/j.0305-0270.2003.00994.x",,,1411,1610,20,1411,0.002035
12619,"kery m, 2013, j biogeogr, v40, p1463, doi 10.1111/jbi.12087",,,996,1072,14,996,0.001973
16646,"mordecai rs, 2011, j appl ecol, v48, p56, doi 10.1111/j.1365-2664.2010.01921.x",,,1002,1184,17,1002,0.001905
18056,"pacifici k, 2014, ecol evol, v4, p877, doi 10.1002/ece3.976",,,1363,1632,21,1363,0.001879
20854,"russell re, 2009, ecol appl, v19, p1253, doi 10.1890/08-0910.1",,,1591,2049,31,1591,0.00186
8622,"gelman a, 2006, bayesian anal, v1, p515, doi 10.1214/06-ba117a",,,888,987,15,888,0.001824
12624,"kery m, 2018, ecology, v99, p281, doi 10.1002/ecy.2093",,,1021,1229,20,1021,0.001815
20029,"ridout ms, 2009, j agr biol envir st, v14, p322, doi 10.1198/jabes.2009.08038",,,1350,1620,22,1350,0.001792
14192,"link wa, 2010, bayesian inference with ecological applications, p1",,,643,676,9,643,0.001792
21997,"sillett ts, 2012, ecol appl, v22, p1997, doi 10.1890/11-1400.1",,,392,410,6,392,0.001783
10665,"hines j.e., 2006, presence software es",,,1371,1502,21,1371,0.00175
14736,"macarthur r, 1961, ecology, v42, p594, doi 10.2307/1932254",,,1050,1139,14,1050,0.001735
10788,"hoekstra jm, 2005, ecol lett, v8, p23, doi 10.1111/j.1461-0248.2004.00686.x",,,479,499,8,479,0.001735
19954,"rich ln, 2016, j appl ecol, v53, p1225, doi 10.1111/1365-2664.12650",,,1566,1987,28,1566,0.001727
1359,"bailey ll, 2004, ecol appl, v14, p692, doi 10.1890/03-5012",,,1177,1388,27,1177,0.001706
11021,"hostetler ja, 2015, ecology, v96, p1713, doi 10.1890/14-1487.1",,,861,984,17,861,0.001695
20709,"royle ja, 2005, oikos, v110, p353, doi 10.1111/j.0030-1299.2005.13534.x",,,950,1046,19,950,0.001688
6967,"elith j, 2009, annu rev ecol evol s, v40, p677, doi 10.1146/annurev.ecolsys.110308.120159",,,1050,1217,17,1050,0.001684
17670,"o'hara rb, 2009, bayesian anal, v4, p85, doi 10.1214/09-ba403",,,509,589,10,509,0.001641
9967,"hanski i, 1998, nature, v396, p41, doi 10.1038/23876",,,1131,1299,20,1131,0.001623
13802,"leibold ma, 2004, ecol lett, v7, p601, doi 10.1111/j.1461-0248.2004.00608.x",,,743,843,11,743,0.001619
15292,"martin tg, 2005, ecol lett, v8, p1235, doi 10.1111/j.1461-0248.2005.00826.x",,,925,1050,14,925,0.001599
22607,"spiegelhalter d, 2003, winbugs user manual",,,851,1005,17,851,0.001598
10934,"homer c, 2015, photogramm eng rem s, v81, p345, doi 10.14358/pers.81.5.345",,,970,1050,16,970,0.001583
23840,"tingley mw, 2013, ecology, v94, p598, doi 10.1890/12-0928.1",,,1149,1282,17,1149,0.001572
14834,"mackenzie di, 2005, ecology, v86, p1101, doi 10.1890/04-1060",,,1290,1482,22,1290,0.001516
3662,"burnham kp, 2004, sociol method res, v33, p261, doi 10.1177/0049124104268644",,,998,1058,16,998,0.001508
12531,"kendall wl, 2009, j appl ecol, v46, p1182, doi 10.1111/j.1365-2664.2009.01732.x",,,1230,1441,25,1230,0.001491
17341,"nichols jd, 2006, trends ecol evol, v21, p668, doi 10.1016/j.tree.2006.08.007",,,804,922,16,804,0.001486
21471,"schuette p, 2013, biol conserv, v158, p301, doi 10.1016/j.biocon.2012.08.008",,,1335,1731,25,1335,0.001454
20728,"royle ja, 2014, spatial capture-recapture, p1",,,740,796,13,740,0.001451
7374,"farnsworth gl, 2002, auk, v119, p414, doi 10.1642/0004-8038(2002)119[0414:armfed]2.0.co;2",,,983,1229,20,983,0.001434
19059,"pollock kh, 2002, environmetrics, v13, p105, doi 10.1002/env.514",,,1076,1288,22,1076,0.001433
5362,"crooks kr, 2002, conserv biol, v16, p488, doi 10.1046/j.1523-1739.2002.00386.x",,,1401,1641,19,1401,0.001413
17985,"otis dl, 1978, wildlife monogr, p1",,,941,1059,18,941,0.001413
12600,"kery m, 2005, ecol appl, v15, p1450, doi 10.1890/04-1120",,,1077,1440,27,1077,0.001408
22877,"stevens dl, 2004, j am stat assoc, v99, p262, doi 10.1198/016214504000000250",,,1288,1446,17,1288,0.001394
6672,"dudgeon d, 2006, biol rev, v81, p163, doi 10.1017/s1464793105006950",,,356,365,6,356,0.001392
17342,"nichols jd, 2007, ecology, v88, p1395, doi 10.1890/06-1474",,,947,1086,18,947,0.001347
12610,"kery m, 2009, j appl ecol, v46, p1163, doi 10.1111/j.1365-2664.2009.01724.x",,,986,1176,20,986,0.001346
11230,"hutchinson ge, 1957, cold spring harb sym, v22, p415, doi 10.1101/sqb.1957.022.01.039",,,712,751,9,712,0.001337
1793,"bates d, 2015, j stat softw, v67, p1, doi 10.18637/jss.v067.i01",,,666,684,8,666,0.001326
23495,"ter braak cjf., 2002, canoco reference man",,,156,156,2,156,0.001323
20129,"ritchie eg, 2009, ecol lett, v12, p982, doi 10.1111/j.1461-0248.2009.01347.x",,,1291,1582,18,1291,0.001296
18156,"palomares f, 1999, am nat, v153, p492, doi 10.1086/303189",,,1254,1563,18,1254,0.00129
3678,"burton ac, 2012, plos one, v7, doi 10.1371/journal.pone.0038007",,,1280,1474,20,1280,0.001284
18247,"parmesan c, 2006, annu rev ecol evol s, v37, p637, doi 10.1146/annurev.ecolsys.37.091305.110100",,,551,574,8,551,0.001238
4338,"chandler rb, 2011, ecology, v92, p1429, doi 10.1890/10-2433.1",,,806,965,18,806,0.001221
20790,"ruiz-gutierrez v, 2010, j appl ecol, v47, p621, doi 10.1111/j.1365-2664.2010.01811.x",,,963,1114,19,963,0.001214
12471,"kellner k., 2019, package jagsui wrapp",,,758,809,11,758,0.001213
12605,"kery m, 2008, community ecol, v9, p207, doi 10.1556/comec.9.2008.2.10",,,899,1052,17,899,0.001197
6029,"denes fv, 2015, methods ecol evol, v6, p543, doi 10.1111/2041-210x.12333",,,902,1045,17,902,0.001194
892,"andren h, 1994, oikos, v71, p355, doi 10.2307/3545823",,,995,1057,12,995,0.001193
9590,"guillera-arroita g, 2017, ecography, v40, doi 10.1111/ecog.02445",,,998,1116,15,998,0.001183
3663,"burnham kp, 2011, behav ecol sociobiol, v65, p23, doi 10.1007/s00265-010-1029-6",,,756,836,12,756,0.001157
14828,"mackenzie di, 2002, ecology, v83, p2387, doi 10.1890/0012-9658(2002)083[2387:hsdpbi]2.0.co;2",,,729,809,14,729,0.001145
9583,"guillera-arroita g, 2010, methods ecol evol, v1, p131, doi 10.1111/j.2041-210x.2010.00017.x",,,785,850,13,785,0.001115
6128,"devarajan k, 2020, ecography, v43, p1612, doi 10.1111/ecog.04957",,,834,902,12,834,0.001111
14837,"mackenzie di, 2005, occupancy estimation",,,543,566,11,543,0.001108
143,"[anonymous], 2010, salamanders us canad",,,911,1068,16,911,0.001086
10656,"hines j. e., 2006, presence software es",,,813,903,16,813,0.001077
2382,"bibby c.j., 2000, description measurem",,,833,919,15,833,0.001066
25644,"wiens ja, 1989, funct ecol, v3, p385, doi 10.2307/2389612",,,1058,1169,12,1058,0.001065
25246,"watson jem, 2014, nature, v515, p67, doi 10.1038/nature13947",,,908,979,14,908,0.001056
19307,"prugh lr, 2009, bioscience, v59, p779, doi 10.1525/bio.2009.59.9.9",,,962,1192,17,962,0.001049
21429,"schoener tw, 1974, science, v185, p27, doi 10.1126/science.185.4145.27",,,788,899,11,788,0.001045
5361,"crooks kr, 1999, nature, v400, p563, doi 10.1038/23028",,,1155,1360,16,1155,0.001035
10722,"hobbs n.t., 2015, bayesian models stat, doi [10.1016/j.tree.2018.06.004, doi 10.1515/9781400866557]",,,552,583,9,552,0.00103
12608,"kery m, 2009, ecology, v90, p1279, doi 10.1890/07-1794.1",,,1244,1527,22,1244,0.001003
12475,"kellner kf, 2014, plos one, v9, doi 10.1371/journal.pone.0111436",,,788,870,14,788,0.000994
12081,"joseph ln, 2009, ecol appl, v19, p631, doi 10.1890/07-2107.1",,,848,989,15,848,0.000991
25611,"wickham h, 2009, use r, p1, doi 10.1007/978-0-387-98141-3_1",,,482,499,8,482,0.000991
19327,"pulliam hr, 1988, am nat, v132, p652, doi 10.1086/284880",,,556,582,10,556,0.000982
4946,"conn pb, 2018, ecol monogr, v88, p526, doi 10.1002/ecm.1314",,,717,766,10,717,0.000976
11871,"johnson dh, 1980, ecology, v61, p65, doi 10.2307/1937156",,,905,970,12,905,0.000974
17642,"o'connell af, 2006, j wildlife manage, v70, p1625, doi 10.2193/0022-541x(2006)70[1625:esoadp]2.0.co;2",,,1140,1290,17,1140,0.000952
14836,"mackenzie di, 2005, j wildlife manage, v69, p849, doi 10.2193/0022-541x(2005)069[0849:watiwp]2.0.co;2",,,1000,1131,21,1000,0.000946
24950,"waddle jh, 2010, ecol appl, v20, p1467, doi 10.1890/09-0850.1",,,726,811,13,726,0.000946
22995,"strahler an, 1952, geol soc am bull, v63, p1117, doi 10.1130/0016-7606(1952)63[1117:haaoet]2.0.co;2",,,195,195,2,195,0.000941
19955,"rich ln, 2017, global ecol biogeogr, v26, p918, doi 10.1111/geb.12600",,,1028,1203,16,1028,0.000937
3708,"butchart shm, 2010, science, v328, p1164, doi 10.1126/science.1187512",,,558,589,10,558,0.000936
26241,"yackulic cb, 2015, ecology, v96, p16, doi 10.1890/14-1361.1",,,647,695,10,647,0.000934
8801,"gibson la, 2004, j appl ecol, v41, p213, doi 10.1111/j.0021-8901.2004.00896.x",,,152,157,3,152,0.000934
8527,"gaston kj, 2010, science, v327, p154, doi 10.1126/science.1182818",,,232,233,4,232,0.000929
1364,"bailey ll, 2007, ecol appl, v17, p281, doi 10.1890/1051-0761(2007)017[0281:sdtios]2.0.co;2",,,993,1160,20,993,0.000919
2071,"bellier e, 2016, methods ecol evol, v7, p1029, doi 10.1111/2041-210x.12572",,,555,622,10,555,0.000915
12258,"karanth ku, 2011, j appl ecol, v48, p1048, doi 10.1111/j.1365-2664.2011.02002.x",,,1238,1425,18,1238,0.000913
8626,"gelman a, 2008, ann appl stat, v2, p1360, doi 10.1214/08-aoas191",,,554,603,10,554,0.000912
3288,"brook bw, 2008, trends ecol evol, v23, p453, doi 10.1016/j.tree.2008.03.011",,,481,498,8,481,0.000898
19051,"pollock kh, 1982, j wildlife manage, v46, p752, doi 10.2307/3808568",,,909,1067,20,909,0.000894
12609,"kery m, 2009, environ ecol stat se, v3, p639, doi 10.1007/978-0-387-78151-8_28",,,960,1101,16,960,0.000889
21304,"schielzeth h, 2010, methods ecol evol, v1, p103, doi 10.1111/j.2041-210x.2010.00012.x",,,839,1005,13,839,0.000889
860,"anderson mj, 2001, austral ecol, v26, p32, doi 10.1046/j.1442-9993.2001.01070.x",,,274,274,3,274,0.000885
17337,"nichols jd, 2000, auk, v117, p393, doi 10.1642/0004-8038(2000)117[0393:adoafe]2.0.co;2",,,796,1038,20,796,0.000879
7949,"fortin mj, 2005, spatial analysis: a guide for ecologists",,,181,185,3,181,0.000878
20711,"royle ja, 2006, ecology, v87, p835, doi 10.1890/0012-9658(2006)87[835:gsomaf]2.0.co;2",,,1040,1260,20,1040,0.000859
23096,"su y.-s., 2015, r2jags",,,651,718,12,651,0.00085
2117,"benitez-lopez a, 2017, science, v356, p180, doi 10.1126/science.aaj1891",,,601,664,10,601,0.000836
9592,"guillera-arroita g, 2019, ecol evol, v9, p780, doi 10.1002/ece3.4821",,,780,876,11,780,0.000835
3232,"brockerhoff eg, 2008, biodivers conserv, v17, p925, doi 10.1007/s10531-008-9380-x",,,609,640,8,609,0.000835
4742,"clutton-brock t, 2010, trends ecol evol, v25, p562, doi 10.1016/j.tree.2010.08.002",,,357,358,4,357,0.000835
26417,"zedler jb, 2005, annu rev env resour, v30, p39, doi 10.1146/annurev.energy.30.050504.144248",,,588,660,8,588,0.000829
23054,"stuart sn, 2004, science, v306, p1783, doi 10.1126/science.1103538",,,810,924,13,810,0.000824
11481,"iucn, 2020, iucn red list 2017 2",,,526,540,7,526,0.000824
11884,"johnson ds, 2013, ecology, v94, p801, doi 10.1890/12-0564.1",,,584,660,13,584,0.000819
8796,"gibson l, 2011, nature, v478, p378, doi 10.1038/nature10425",,,760,839,11,760,0.000809
14719,"mac arthur robert h., 1967",,,468,499,7,468,0.000806
16498,"mollenhauer r, 2020, southeast nat, v19, p308, doi 10.1656/058.019.0210",,,237,237,2,237,0.000799
14186,"link wa, 2002, j wildlife manage, v66, p277, doi 10.2307/3803160",,,714,861,13,714,0.000798
4210,"ceballos g, 2015, sci adv, v1, doi 10.1126/sciadv.1400253",,,698,730,9,698,0.000796
22788,"steenweg r, 2017, front ecol environ, v15, p26, doi 10.1002/fee.1448",,,875,989,15,875,0.000794
22789,"steenweg r, 2018, ecology, v99, p172, doi 10.1002/ecy.2054",,,610,662,12,610,0.000793
1235,"auguie b., 2017, package gridextra mi",,,569,583,8,569,0.000793
18774,"pettorelli n, 2011, clim res, v46, p15, doi 10.3354/cr00936",,,505,521,7,505,0.000774
11243,"hutto rl, 1986, auk, v103, p593, doi 10.1093/auk/103.3.593",,,646,689,10,646,0.000772
23694,"thompson sk, 1994, biometrics, v50, p712, doi 10.2307/2532785",,,231,238,3,231,0.00076
16470,"moilanen a, 2002, oikos, v96, p516, doi 10.1034/j.1600-0706.2002.960313.x",,,803,977,17,803,0.000758
18915,"pimm sl, 2014, science, v344, p987, doi 10.1126/science.1246752",,,579,596,8,579,0.000746
23870,"tobler mw, 2008, anim conserv, v11, p169, doi 10.1111/j.1469-1795.2008.00169.x",,,795,955,16,795,0.000745
3368,"brown jh, 1977, ecology, v58, p445, doi 10.2307/1935620",,,522,563,9,522,0.000744
15835,"mckinney m. l., 2008, urban ecosystems, v11, p161, doi 10.1007/s11252-007-0045-4",,,582,633,10,582,0.000743
12783,"kinnaird mf, 2012, conserv biol, v26, p1026, doi 10.1111/j.1523-1739.2012.01942.x",,,632,694,11,632,0.000742
17905,"ordenana ma, 2010, j mammal, v91, p1322, doi 10.1644/09-mamm-a-312.1",,,936,1059,13,936,0.00074
9963,"hanski i, 1994, j anim ecol, v63, p151, doi 10.2307/5591",,,717,795,13,717,0.000737
15251,"martin j, 2011, methods ecol evol, v2, p595, doi 10.1111/j.2041-210x.2011.00113.x",,,555,637,11,555,0.000733
26254,"yamaura y, 2012, biodivers conserv, v21, p1365, doi 10.1007/s10531-012-0244-z",,,584,618,9,584,0.000731
24495,"van der weyde lk, 2018, biol conserv, v220, p21, doi 10.1016/j.biocon.2018.01.033",,,742,854,12,742,0.000712
10819,"hofmeester tr, 2019, ecol evol, v9, p2320, doi 10.1002/ece3.4878",,,461,498,7,461,0.000706
13978,"levins richard, 1968",,,179,179,2,179,0.000705
15838,"mckinney ml, 2006, biol conserv, v127, p247, doi 10.1016/j.biocon.2005.09.005",,,677,735,10,677,0.000702
14724,"mac nally r, 2000, biodivers conserv, v9, p655, doi 10.1023/a:1008985925162",,,213,214,3,213,0.000702
14838,"mackenzie di, 2006, j wildlife manage, v70, p367, doi 10.2193/0022-541x(2006)70[367:mtporu]2.0.co;2",,,921,1055,16,921,0.000696
24545,"van strien aj, 2013, j appl ecol, v50, p1450, doi 10.1111/1365-2664.12158",,,528,583,10,528,0.000689
17258,"newbold t, 2015, nature, v520, p45, doi 10.1038/nature14324",,,760,839,11,760,0.000683
22320,"smith ma, 2005, ecography, v28, p110",,,553,603,7,553,0.000678
26088,"woodroffe r, 1998, science, v280, p2126, doi 10.1126/science.280.5372.2126",,,783,947,14,783,0.000673
15587,"mccain cm, 2009, global ecol biogeogr, v18, p346, doi 10.1111/j.1466-8238.2008.00443.x",,,625,659,8,625,0.000673
10879,"holm s, 1979, scand j stat, v6, p65",,,161,161,2,161,0.000673
23838,"tingley mw, 2009, trends ecol evol, v24, p625, doi 10.1016/j.tree.2009.05.009",,,755,830,12,755,0.000671
7600,"ficetola gf, 2018, sci rep-uk, v8, doi 10.1038/s41598-018-28432-8",,,681,790,13,681,0.000665
7917,"forman rtt, 1998, annu rev ecol syst, v29, p207, doi 10.1146/annurev.ecolsys.29.1.207",,,658,712,10,658,0.000664
10539,"hesselbarth mhk, 2019, ecography, v42, p1648, doi 10.1111/ecog.04617",,,623,633,7,623,0.000653
21656,"sekercioglu ch, 2004, p natl acad sci usa, v101, p18042, doi 10.1073/pnas.0408049101",,,328,333,5,328,0.000648
13971,"levins r, 1969, bulletin of the entomological society of america, v15, p237",,,548,586,10,548,0.000641
7172,"estes ja, 2011, science, v333, p301, doi 10.1126/science.1205106",,,902,1077,16,902,0.000638
3370,"brown jh, 1984, am nat, v124, p255, doi 10.1086/284267",,,690,747,12,690,0.000637
13391,"lambeck rj, 1997, conserv biol, v11, p849, doi 10.1046/j.1523-1739.1997.96319.x",,,590,629,9,590,0.000637
6345,"dirzo r, 2014, science, v345, p401, doi 10.1126/science.1251817",,,667,726,11,667,0.000636
7255,"ewers rm, 2006, biol rev, v81, p117, doi 10.1017/s1464793105006949",,,550,599,8,550,0.000636
1365,"bailey ll, 2009, biol conserv, v142, p2983, doi 10.1016/j.biocon.2009.07.028",,,530,592,12,530,0.000634
6746,"dunning jb, 1992, oikos, v65, p169, doi 10.2307/3544901",,,617,634,8,617,0.000633
6073,"denwood mj, 2016, j stat softw, v71, p1, doi 10.18637/jss.v071.i09",,,481,499,8,481,0.000627
507,"ahumada ja, 2013, plos one, v8, doi 10.1371/journal.pone.0073707",,,898,1041,14,898,0.000626
526,"akaike h, 1974, ieee t automat contr, vac19, p716, doi 10.1109/tac.1974.1100705",,,631,654,8,631,0.000625
12612,"kery m, 2010, j anim ecol, v79, p453, doi 10.1111/j.1365-2656.2009.01632.x",,,654,753,14,654,0.000619
6720,"dunham jb, 2004, fisheries, v29, p18, doi 10.1577/1548-8446(2004)29[18:atcont]2.0.co;2",,,181,181,2,181,0.000619
6418,"doherty pf, 2012, j ornithol, v152, ps317, doi 10.1007/s10336-010-0598-5",,,628,660,10,628,0.000617
12611,"kery m, 2010, conserv biol, v24, p1388, doi 10.1111/j.1523-1739.2010.01479.x",,,536,611,12,536,0.000613
9588,"guillera-arroita g, 2014, plos one, v9, doi 10.1371/journal.pone.0099571",,,602,648,11,602,0.000609
3651,"burnham k.p., 2002, model selection mult, doi [10.1007/b97636 10.1007/b97636]",,,537,577,10,537,0.000605
15837,"mckinney ml, 2002, bioscience, v52, p883, doi 10.1641/0006-3568(2002)052[0883:ubac]2.0.co;2",,,857,943,10,857,0.000598
12455,"kellner k, 2015, jagsui wrapper rjags",,,626,652,8,626,0.00058
25144,"wang yw, 2015, biol conserv, v190, p23, doi 10.1016/j.biocon.2015.05.007",,,767,884,13,767,0.000578
25984,"wisz ms, 2013, biol rev, v88, p15, doi 10.1111/j.1469-185x.2012.00235.x",,,561,591,9,561,0.000578
4120,"casella g, 1992, am stat, v46, p167, doi 10.2307/2685208",,,242,244,3,242,0.000575
22806,"stein a, 2014, ecol lett, v17, p866, doi 10.1111/ele.12277",,,614,640,8,614,0.000574
26258,"yamaura y, 2016, ecol res, v31, p289, doi 10.1007/s11284-016-1340-4",,,425,454,8,425,0.000574
